asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
AUD-AMB-001_drizzle_village_a_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_a_v002.md,,000146bad7578489eb7cdecea0f042755563d8b3e4eeb0316bcd3ed7a40fd4ac,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,AUD-AMB-001_drizzle_village_a_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-AMB-001_drizzle_village_a_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_a_v002.ogg,frontend/public/assets/runtime/audio/drizzle-village-a.ogg,a78513fd346364b6a78ad71ce5bcee22bba1f53bdcefc9d4528d4cf7a00074a2,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,2026-08-05T16:40:00+08:00,AUD-AMB-001_drizzle_village_a_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-AMB-001_drizzle_village_a_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_a_v002.wav,,c2cc464ffac58435b2269c7530ab431872653ccb821334cf9df232b0c35b5d75,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,AUD-AMB-001_drizzle_village_a_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-AMB-001_drizzle_village_b_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_b_v002.md,,181284770613f2a511cc4e0fe901140e188a49852051be17e01e241ac474cd6c,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,AUD-AMB-001_drizzle_village_b_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-AMB-001_drizzle_village_b_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_b_v002.ogg,,31ef8835cd31ac70c350b16205126f036447e65a415a319d1c18261570cfaaa7,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,AUD-AMB-001_drizzle_village_b_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-AMB-001_drizzle_village_b_v002,AUD-AMB-001,approved-candidate,inbox/audio/ambience/v002/AUD-AMB-001_drizzle_village_b_v002.wav,,68ff540b6aa973e6fe8281af9999032ab5a9bdf7b9791543484770f3bf06646c,程序化/ffmpeg,ImageGen,2026-08-05,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,AUD-AMB-001_drizzle_village_b_v001,v002 loudnorm 校准至 -24.6 LUFS，TP -13.1/-12.4 dBTP，进入 ambience 目标区间。
AUD-BGM-001_village_dawn_a_v001,AUD-BGM-001,approved-candidate,inbox/audio/bgm/AUD-BGM-001_village_dawn_a_v001.md,,8324fc3b2cbe166f3a527108f89b8d4191e76aeb67761d3f518f39041f1b800a,程序化/ffmpeg,ImageGen,2026-08-04,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,,规格、响度、时长基本达标；A 适配首屏晨间，B 适配书库/记录页。
AUD-BGM-001_village_dawn_a_v001,AUD-BGM-001,approved-candidate,inbox/audio/bgm/AUD-BGM-001_village_dawn_a_v001.ogg,frontend/public/assets/runtime/audio/village-dawn-a.ogg,2c78f7e15781bf13c483bd1fdf030508f83af753e965ecbc4453f0a691fe9635,程序化/ffmpeg,ImageGen,2026-08-04,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,2026-08-05T16:40:00+08:00,,规格、响度、时长基本达标；A 适配首屏晨间，B 适配书库/记录页。
AUD-BGM-001_village_dawn_a_v001,AUD-BGM-001,approved-candidate,inbox/audio/bgm/AUD-BGM-001_village_dawn_a_v001.wav,,891acac9c6bc25e3558cd823d361583ba36fa44032db511860028a0909c9b2a2,程序化/ffmpeg,ImageGen,2026-08-04,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,,规格、响度、时长基本达标；A 适配首屏晨间，B 适配书库/记录页。
AUD-BGM-001_village_dawn_b_v001,AUD-BGM-001,approved-candidate,inbox/audio/bgm/AUD-BGM-001_village_dawn_b_v001.md,,ae2d0d4ab9898ea0702dcccb41b35114053b66ea26489344563a32c71cc42cd8,程序化/ffmpeg,ImageGen,2026-08-04,owned,,false,,review-2026-08-05,2026-08-05T08:50:00+08:00,,,规格、响度、时长基本达标；A 适配首屏晨间，B 适配书库/记录页。
